block_full_fidelity_mean,block_full_fidelity_min,block_gauge_fidelity,block_rotation_fidelity_mean,block_rotation_fidelity_min,chi_hz,duration_ns,experiment_id,family_id,family_label,full_fidelity_after_ideal_snap,full_unitary_fidelity,kerr_hz,lambda_family,n_levels,n_max,off_block_norm,phase_error_affine_rms_rad,phase_error_max_abs_rad,phase_error_rms_rad,residual_post_z_rms_rad,residual_pre_z_rms_rad,snap_benchmark_improvement,title
0.5140699276111136,0.00025916758934192534,0.37070173648823956,0.5140699276111136,0.0002591675893419245,-2840000.0,1000.0000000000001,uniform_pi_kerr_cancel_N3_T1000ns,A_naive,Construction A: naive baseline SQR,0.37070173648823956,0.31928273586637224,-30000.0,kerr_cancel,4,3,0.0,0.8601892350693057,1.6860328693170195,1.0023278058928524,1.146813510034139,1.045621109184564,0.05141900062186733,"Uniform pi target, kerr_cancel phase, N=3"
0.9939726994329761,0.9899737454922408,0.9939686815489479,0.9939726994329763,0.989973745492241,-2840000.0,1000.0000000000001,uniform_pi_kerr_cancel_N3_T1000ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.9939686815489479,0.7332783109845679,-30000.0,kerr_cancel,4,3,0.0,0.8601891526104624,1.6860325504745515,1.0023276749409467,0.3389146381915554,0.3384507846256651,0.26069037056438005,"Uniform pi target, kerr_cancel phase, N=3"
0.9116321457642016,0.8627747582559425,0.9111013775449662,0.9116321457642016,0.8627747582559425,-2840000.0,700.0,structured_zero_N3_T700ns,A_naive,Construction A: naive baseline SQR,0.911101377544966,0.880602606205499,-30000.0,zero,4,3,0.0,0.06616139837004499,0.45653388697806846,0.24413772113387397,0.6144564250851233,0.42171689212741864,0.03049877133946699,"Structured rotation target, zero phase, N=3"
0.9689384552798932,0.9493160302465609,0.9688715922844885,0.9689384552798932,0.9493160302465609,-2840000.0,700.0,structured_zero_N3_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.9688715922844885,0.9368271481567796,-30000.0,zero,4,3,0.0,0.06616198681718623,0.4565364509500614,0.24413895555864681,0.5429965276643897,0.3965601979111656,0.032044444127708904,"Structured rotation target, zero phase, N=3"
0.9116321457642016,0.8627747582559425,0.9111013775449662,0.9116321457642016,0.8627747582559425,-2840000.0,700.0,structured_quadratic_small_N3_T700ns,A_naive,Construction A: naive baseline SQR,0.911101377544966,0.9108535732661649,-30000.0,quadratic_small,4,3,0.0,0.013838601631785172,0.023466113021931523,0.01650513143837083,0.6144564250851233,0.42171689212741864,0.00024780427880111144,"Structured rotation target, quadratic_small phase, N=3"
0.9689404332116106,0.9492621797451711,0.968873176281606,0.9689404332116106,0.9492621797451711,-2840000.0,700.0,structured_quadratic_small_N3_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.9688731762816057,0.9686129129899942,-30000.0,quadratic_small,4,3,0.0,0.013838013175645383,0.023463549022026353,0.016504259385121615,0.4367776881125518,0.29145497776306967,0.00026026329161155104,"Structured rotation target, quadratic_small phase, N=3"
0.9116321457642016,0.8627747582559425,0.9111013775449662,0.9116321457642016,0.8627747582559425,-2840000.0,700.0,structured_alternating_small_N3_T700ns,A_naive,Construction A: naive baseline SQR,0.911101377544966,0.8544824193392699,-30000.0,alternating_small,4,3,0.0,0.16416513407288566,0.6165338869780684,0.32117230894771315,0.6144564250851233,0.42171689212741864,0.05661895820569607,"Structured rotation target, alternating_small phase, N=3"
0.9689299143636398,0.9495338266380025,0.9688636911764226,0.9689299143636397,0.9495338266380025,-2840000.0,700.0,structured_alternating_small_N3_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.9688636911764226,0.909664998840715,-30000.0,alternating_small,4,3,0.0,0.1641656835902256,0.6165364509469073,0.321173542435738,0.5109089366799032,0.3644808348682189,0.059198692335707626,"Structured rotation target, alternating_small phase, N=3"
0.9116321457642016,0.8627747582559425,0.9111013775449662,0.9116321457642016,0.8627747582559425,-2840000.0,700.0,structured_random_small_N3_T700ns,A_naive,Construction A: naive baseline SQR,0.911101377544966,0.8719125134706478,-30000.0,random_small,4,3,0.0,0.11066147796594261,0.5137277052508178,0.2604048267251389,0.6144564250851233,0.42171689212741864,0.03918886407431821,"Structured rotation target, random_small phase, N=3"
0.9689367852479687,0.9493615969899748,0.9688699888891196,0.9689367852479687,0.9493615969899746,-2840000.0,700.0,structured_random_small_N3_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.9688699888891198,0.927895702048791,-30000.0,random_small,4,3,0.0,0.11066210294664798,0.5137302692264101,0.26040610532902747,0.5432002644830016,0.39667127746401704,0.04097428684032878,"Structured rotation target, random_small phase, N=3"
0.5195813706866773,0.21675577301142734,0.4709016488582428,0.5195813706866773,0.21675577301142734,-2840000.0,700.0,uniform_pi_zero_N3_T700ns_kerr0,A_naive,Construction A: naive baseline SQR,0.4709016488582428,0.4707293102862732,0.0,zero,4,3,0.0,3.7056895739341286e-08,0.059564723495972374,0.03714510162732106,0.3803112726324716,0.3765196430345346,0.00017233857196963243,"Uniform pi target, zero phase, N=3, Kerr off"
0.7694037111197058,0.72378983275047,0.7687270360352984,0.769403711119706,0.72378983275047,-2840000.0,700.0,uniform_pi_zero_N3_T700ns_kerr0,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.7687270360352986,0.7683572920451295,0.0,zero,4,3,0.0,3.16828973609293e-08,0.059564470797637034,0.03714499974284858,0.36277575603942486,0.39377607979189355,0.0003697439901690913,"Uniform pi target, zero phase, N=3, Kerr off"
0.8148904270710452,0.7678334856888902,0.8134180238423471,0.8148904270710451,0.7678334856888901,-2414000.0,700.0,uniform_pi_zero_N3_T700ns_chi_low,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.8134180238423471,0.4732733742669998,-30000.0,zero,4,3,0.0,0.7055901889115508,1.0905599678473976,0.7292956568561347,3.0896099365549015,3.1380854573266577,0.3401446495753473,"Uniform pi target, zero phase, N=3, reduced chi"
0.8821939044752303,0.7762756384143057,0.8806595627466863,0.8821939044752303,0.7762756384143057,-3265999.9999999995,700.0,uniform_pi_zero_N3_T700ns_chi_high,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.8806595627466861,0.37629830820372984,-30000.0,zero,4,3,0.0,0.7055901992516744,1.4346271414096483,0.9369799708899434,2.2372473432978226,2.239934980712359,0.5043612545429563,"Uniform pi target, zero phase, N=3, increased chi"
